,Frame_No.,Time_Stamp,Emotion_Predicted
0,1,0.0,Angry
1,2,41.666666666666664,Angry
2,3,83.33333333333333,Neutral
3,4,125.0,Angry
4,5,166.66666666666666,Neutral
5,6,208.33333333333331,Angry
6,7,250.0,Neutral
7,8,291.66666666666663,Neutral
8,9,333.3333333333333,Neutral
9,10,375.0,Angry
10,11,416.66666666666663,Angry
11,12,458.3333333333333,Angry
12,13,500.0,Angry
13,14,541.6666666666666,Angry
14,15,583.3333333333333,Neutral
15,16,625.0,Neutral
16,17,666.6666666666666,Angry
17,18,708.3333333333333,Angry
18,19,750.0,Neutral
19,20,791.6666666666666,Neutral
20,21,833.3333333333333,Neutral
21,22,875.0,Neutral
22,23,916.6666666666666,Neutral
23,24,958.3333333333333,Angry
24,25,1000.0,Neutral
25,26,1041.6666666666667,Neutral
26,27,1083.3333333333333,Angry
27,28,1125.0,Angry
28,29,1166.6666666666665,Angry
29,30,1208.3333333333333,Neutral
30,31,1250.0,Angry
31,32,1291.6666666666665,Neutral
32,33,1333.3333333333333,Neutral
33,34,1375.0,Angry
34,35,1416.6666666666665,Neutral
35,36,1458.3333333333333,Neutral
36,37,1500.0,Angry
37,38,1541.6666666666665,Neutral
38,39,1583.3333333333333,Angry
39,40,1625.0,Angry
40,41,1666.6666666666665,Neutral
41,42,1708.3333333333333,Neutral
42,43,1750.0,Neutral
43,44,1791.6666666666665,Angry
44,45,1833.3333333333333,Neutral
45,46,1875.0,Neutral
46,47,1916.6666666666665,Neutral
47,48,1958.3333333333333,Angry
48,49,2000.0,Neutral
49,50,2041.6666666666665,Angry
50,51,2083.3333333333335,Angry
51,52,2125.0,Neutral
52,53,2166.6666666666665,Neutral
53,54,2208.3333333333335,Angry
54,55,2250.0,Angry
55,56,2291.6666666666665,Neutral
56,57,2333.333333333333,Angry
57,58,2375.0,Neutral
58,59,2416.6666666666665,Angry
59,60,2458.333333333333,Angry
60,61,2500.0,Neutral
61,62,2541.6666666666665,Neutral
62,63,2583.333333333333,Angry
63,64,2625.0,Angry
64,65,2666.6666666666665,Disgust
65,66,2708.333333333333,Angry
66,67,2750.0,Surprise
67,68,2791.6666666666665,Angry
68,69,2833.333333333333,Fear
69,70,2875.0,Fear
70,71,2916.6666666666665,Fear
71,72,2958.333333333333,Fear
72,73,3000.0,Angry
73,74,3041.6666666666665,Angry
74,75,3083.333333333333,Fear
75,76,3125.0,Fear
76,77,3166.6666666666665,Fear
77,78,3208.333333333333,Fear
78,79,3250.0,Fear
79,80,3291.6666666666665,Fear
80,81,3333.333333333333,Fear
81,82,3375.0,Fear
82,83,3416.6666666666665,Fear
83,84,3458.333333333333,Fear
84,85,3500.0,Fear
85,86,3541.6666666666665,Fear
86,87,3583.333333333333,Fear
87,88,3625.0,Fear
88,89,3666.6666666666665,Fear
89,90,3708.333333333333,Fear
90,91,3750.0,Fear
91,92,3791.6666666666665,Fear
92,93,3833.333333333333,Angry
93,94,3875.0,Fear
94,95,3916.6666666666665,Fear
95,96,3958.333333333333,Fear
96,97,4000.0,Fear
97,98,4041.666666666667,Fear
98,99,4083.333333333333,Fear
99,100,4125.0,Angry
100,101,4166.666666666667,Fear
101,102,4208.333333333333,Fear
102,103,4250.0,Fear
103,104,4291.666666666667,Fear
104,105,4333.333333333333,Fear
105,106,4375.0,Fear
106,107,4416.666666666667,Angry
107,108,4458.333333333333,Fear
108,109,4500.0,Angry
109,110,4541.666666666666,Fear
110,111,4583.333333333333,Fear
111,112,4625.0,Fear
112,113,4666.666666666666,Fear
113,114,4708.333333333333,Fear
114,115,4750.0,Fear
115,116,4791.666666666666,Fear
116,117,4833.333333333333,Fear
117,118,4875.0,Fear
118,119,4916.666666666666,Fear
119,120,4958.333333333333,Fear
120,121,5000.0,Fear
121,122,5041.666666666666,Fear
122,123,5083.333333333333,Fear
123,124,5125.0,Fear
124,125,5166.666666666666,Fear
125,126,5208.333333333333,Fear
126,127,5250.0,Fear
127,128,5291.666666666666,Fear
128,129,5333.333333333333,Fear
129,130,5375.0,Fear
130,131,5416.666666666666,Fear
131,132,5458.333333333333,Fear
132,133,5500.0,Fear
133,134,5541.666666666666,Fear
134,135,5583.333333333333,Fear
135,136,5625.0,Angry
136,137,5666.666666666666,Fear
137,138,5708.333333333333,Fear
138,139,5750.0,Fear
139,140,5791.666666666666,Fear
140,141,5833.333333333333,Fear
141,142,5875.0,Fear
142,143,5916.666666666666,Fear
143,144,5958.333333333333,Fear
144,145,6000.0,Fear
145,146,6041.666666666666,Fear
146,147,6083.333333333333,Fear
147,148,6125.0,Fear
148,149,6166.666666666666,Fear
149,150,6208.333333333333,Fear
150,151,6250.0,Fear
151,152,6291.666666666666,Fear
152,153,6333.333333333333,Fear
153,154,6375.0,Fear
154,155,6416.666666666666,Fear
155,156,6458.333333333333,Fear
156,157,6500.0,Fear
157,158,6541.666666666666,Fear
158,159,6583.333333333333,Fear
159,160,6625.0,Fear
160,161,6666.666666666666,Fear
161,162,0.0,Fear
162,163,0.0,Fear
163,164,0.0,Fear
164,165,0.0,Fear
165,166,0.0,Fear
166,167,0.0,Fear
167,168,0.0,Fear
168,169,0.0,Fear
169,170,0.0,Fear
170,171,0.0,Fear
171,172,0.0,Fear
172,173,0.0,Fear
